Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
175.88,265.53,103.18,132.33,560.82,812.67,0.01,0.09,218.77,217.57,33.25,47.7,47.23,64.6,263.69,372.29,28.79,53.27,26.71,10.0,56.85,97.7,10.1,7.1,263.03,389.12,16.56,29.62,1,4,40,24,161,0.099,35,4,6,74,4,2,24,1,58.0,3,Southeastern La.
175.88,265.53,103.18,132.33,560.82,812.67,0.01,0.09,218.77,217.57,33.25,47.7,47.23,64.6,263.69,372.29,28.79,53.27,26.71,10.0,56.85,97.7,10.1,7.1,263.03,389.12,16.56,29.62,0,4,39,22,136,0.125,36,8,11,66,10,1,14,2,55.0,3,Southeastern La.
175.88,238.47,103.18,98.58,560.82,626.16,0.01,0.61,218.77,385.73,33.25,37.91,47.23,48.25,263.69,314.6,28.79,44.75,26.71,25.0,56.85,75.21,10.1,15.45,263.03,333.79,16.56,15.12,0,3,15,21,66,-0.091,13,1,3,21,6,2,2,3,19.0,1,Southern Miss.
175.88,232.94,103.18,93.39,560.82,715.78,0.01,0.56,218.77,228.76,33.25,33.6,47.23,47.25,263.69,350.12,28.79,38.36,26.71,12.73,56.85,65.62,10.1,16.3,263.03,309.62,16.56,18.78,0,3,23,20,92,0.033,23,3,7,40,11,0,8,0,30.0,0,Nicholls St.
175.88,232.06,103.18,121.83,560.82,668.11,0.01,0.57,218.77,289.23,33.25,36.77,47.23,52.47,263.69,309.38,28.79,51.6,26.71,13.7,56.85,83.64,10.1,11.18,263.03,316.32,16.56,12.75,0,3,22,22,86,0,19,3,8,33,5,2,2,2,28.0,1,Troy
175.88,305.31,103.18,127.88,560.82,846.62,0.01,0.57,218.77,322.57,33.25,39.31,47.23,53.0,263.69,392.73,28.79,38.83,26.71,24.1,56.85,79.58,10.1,21.7,263.03,407.63,16.56,10.54,0,3,22,18,89,0.045,14,2,7,28,2,2,4,1,28.0,1,Austin Peay
175.88,239.0,103.18,111.21,560.82,651.84,0.01,0.39,218.77,276.93,33.25,41.55,47.23,51.62,263.69,300.12,28.79,31.5,26.71,14.0,56.85,93.85,10.1,15.38,263.03,359.25,16.56,14.88,0,3,18,24,76,-0.079,17,3,1,23,4,1,2,3,23.0,1,New Mexico St.
175.88,232.94,103.18,93.39,560.82,715.78,0.01,0.56,218.77,228.76,33.25,33.6,47.23,47.25,263.69,350.12,28.79,38.36,26.71,12.73,56.85,65.62,10.1,16.3,263.03,309.62,16.56,18.78,0,3,30,16,109,0.128,29,2,14,59,4,3,14,4,42.0,5,Nicholls St.
175.88,176.95,103.18,100.68,560.82,504.21,0.01,-0.01,218.77,256.57,33.25,56.6,47.23,49.33,263.69,231.59,28.79,44.93,26.71,22.91,56.85,60.25,10.1,9.91,263.03,283.84,16.56,18.2,1,5,63,33,172,0.174,56,3,10,67,4,2,12,2,74.0,7,Alabama A&M
175.88,218.18,103.18,107.12,560.82,594.24,0.01,0.09,218.77,230.13,33.25,46.18,47.23,39.77,263.69,262.56,28.79,30.5,26.71,18.25,56.85,68.42,10.1,10.88,263.03,318.23,16.56,18.0,0,3,16,28,95,-0.126,15,1,1,33,6,1,6,2,21.0,4,Alabama St.
