Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
193.83,246.26,93.56,99.53,574.67,715.58,0.48,0.43,219.4,294.47,31.08,29.85,36.19,46.86,233.0,357.76,32.07,28.08,10.09,17.64,69.71,86.42,9.07,11.36,280.75,321.08,20.5,14.64,0,4,34,24,112,0.089,33,2,9,38,9,0,10,1,41.0,1,Kent St.
193.83,257.0,93.56,113.06,574.67,691.44,0.48,0.6,219.4,252.4,31.08,35.21,36.19,48.4,233.0,285.6,32.07,33.88,10.09,12.11,69.71,67.83,9.07,12.5,280.75,365.79,20.5,7.7,0,3,23,14,82,0.110,20,2,10,21,6,1,2,6,27.0,1,Stony Brook
193.83,289.53,93.56,112.65,574.67,791.0,0.48,0.54,219.4,354.0,31.08,33.64,36.19,45.91,233.0,397.87,32.07,34.7,10.09,21.0,69.71,116.5,9.07,15.4,280.75,433.11,20.5,18.75,0,3,29,17,104,0.115,29,5,6,25,6,0,4,2,36.0,1,UCF
193.83,232.05,93.56,98.53,574.67,611.32,0.48,0.55,219.4,259.25,31.08,33.15,36.19,43.83,233.0,298.25,32.07,31.69,10.09,16.91,69.71,88.75,9.07,12.73,280.75,347.41,20.5,10.0,0,3,27,22,102,0.049,27,2,5,33,5,0,6,1,32.0,1,Fla. Atlantic
193.83,242.16,93.56,105.42,574.67,651.63,0.48,0.56,219.4,306.14,31.08,29.8,36.19,44.62,233.0,306.31,32.07,29.14,10.09,14.3,69.71,96.92,9.07,16.27,280.75,342.41,20.5,16.0,0,4,44,24,139,0.144,42,4,7,59,8,0,26,2,61.0,2,New Mexico
193.83,272.47,93.56,100.35,574.67,784.18,0.48,0.48,219.4,335.31,31.08,36.55,36.19,42.69,233.0,373.19,32.07,25.2,10.09,16.22,69.71,89.17,9.07,13.1,280.75,381.0,20.5,10.11,0,3,34,20,112,0.125,34,1,4,56,8,1,4,0,38.0,2,South Fla.
193.83,227.58,93.56,102.0,574.67,622.47,0.48,0.58,219.4,271.6,31.08,38.0,36.19,44.8,233.0,263.17,32.07,36.38,10.09,12.67,69.71,80.58,9.07,14.82,280.75,298.75,20.5,8.0,0,3,30,13,99,0.172,28,3,3,48,7,2,8,6,39.0,2,Georgetown
193.83,176.95,93.56,100.68,574.67,504.21,0.48,-0.01,219.4,256.57,31.08,56.6,36.19,49.33,233.0,231.59,32.07,44.93,10.09,22.91,69.71,60.25,9.07,9.91,280.75,283.84,20.5,18.2,1,3,38,23,99,0.152,36,8,4,34,3,1,14,1,54.0,3,Alabama A&M
193.83,170.21,93.56,95.79,574.67,534.57,0.48,0.54,219.4,186.33,31.08,28.9,36.19,39.75,233.0,235.0,32.07,34.7,10.09,11.0,69.71,48.33,9.07,11.0,280.75,235.46,20.5,9.5,1,3,39,17,95,0.232,38,8,4,48,4,3,12,1,56.0,4,N.C. Central
193.83,247.81,93.56,107.44,574.67,701.44,0.48,0.07,219.4,260.57,31.08,36.92,36.19,38.4,233.0,314.73,32.07,50.0,10.09,14.75,69.71,87.7,9.07,16.09,280.75,381.88,20.5,11.6,0,5,61,26,134,0.261,55,6,6,37,3,0,14,4,74.0,7,UNC Asheville
193.83,231.68,93.56,89.11,574.67,609.05,0.48,0.56,219.4,240.35,31.08,25.79,36.19,40.8,233.0,287.82,32.07,29.36,10.09,13.55,69.71,65.57,9.07,15.0,280.75,335.69,20.5,17.29,0,3,34,18,117,0.137,32,1,3,42,8,0,14,1,42.0,2,Marshall
193.83,272.47,93.56,100.35,574.67,784.18,0.48,0.48,219.4,335.31,31.08,36.55,36.19,42.69,233.0,373.19,32.07,25.2,10.09,16.22,69.71,89.17,9.07,13.1,280.75,381.0,20.5,10.11,0,3,30,18,90,0.133,30,2,7,30,4,2,0,1,34.0,2,South Fla.
193.83,234.0,93.56,109.0,574.67,703.94,0.48,0.54,219.4,254.21,31.08,36.67,36.19,40.18,233.0,358.43,32.07,33.0,10.09,14.86,69.71,83.92,9.07,16.09,280.75,314.9,20.5,20.5,0,3,27,30,117,-0.026,26,2,2,44,3,1,8,1,34.0,1,Wright St.
193.83,277.33,93.56,119.87,574.67,819.87,0.48,0.67,219.4,276.07,31.08,35.15,36.19,45.15,233.0,391.5,32.07,39.17,10.09,15.8,69.71,86.17,9.07,14.17,280.75,378.0,20.5,13.23,0,4,47,25,178,0.124,42,4,8,69,7,1,18,1,61.0,3,LIU
193.83,204.84,93.56,97.11,574.67,614.26,0.48,0.44,219.4,262.5,31.08,21.43,36.19,29.56,233.0,351.13,32.07,26.54,10.09,17.7,69.71,62.62,9.07,12.25,280.75,298.5,20.5,10.9,1,5,66,30,206,0.175,64,4,9,81,2,2,22,3,83.0,4,Bethune-Cookman
193.83,283.0,93.56,107.75,574.67,743.38,0.48,0.6,219.4,284.73,31.08,45.18,36.19,57.31,233.0,327.4,32.07,43.7,10.09,12.91,69.71,92.92,9.07,7.33,280.75,381.63,20.5,14.5,0,3,22,23,88,-0.011,20,2,5,28,7,0,2,0,25.0,4,FGCU
193.83,320.27,93.56,140.8,574.67,995.2,0.48,0.58,219.4,342.62,31.08,39.62,36.19,50.14,233.0,489.14,32.07,43.5,10.09,17.29,69.71,96.82,9.07,13.64,280.75,426.61,20.5,14.0,0,5,63,28,189,0.185,60,3,6,77,5,1,4,4,69.0,4,USC Upstate
193.83,233.76,93.56,120.59,574.67,706.29,0.48,0.54,219.4,283.69,31.08,47.36,36.19,58.23,233.0,337.4,32.07,49.73,10.09,13.0,69.71,93.73,9.07,15.42,280.75,341.83,20.5,19.5,1,3,40,13,88,0.307,36,7,3,41,6,3,12,3,56.0,3,NJIT
193.83,273.94,93.56,110.25,574.67,677.06,0.48,0.65,219.4,294.14,31.08,37.58,36.19,57.21,233.0,278.67,32.07,38.11,10.09,16.56,69.71,87.45,9.07,22.18,280.75,364.27,20.5,18.5,0,4,35,13,108,0.204,32,3,4,41,16/,0,21,3,48.5,5,Lipscomb
193.83,228.78,93.56,96.5,574.67,651.0,0.48,0.49,219.4,259.47,31.08,33.77,36.19,51.27,233.0,301.47,32.07,29.71,10.09,16.3,69.71,88.91,9.07,20.18,280.75,325.56,20.5,12.25,0,3,21,17,85,0.047,21,2,8,33,7,4,6,1,30.0,4,Kennesaw St.
193.83,274.44,93.56,118.94,574.67,804.69,0.48,0.56,219.4,344.67,31.08,34.23,36.19,51.43,233.0,397.64,32.07,39.08,10.09,16.9,69.71,102.33,9.07,11.09,280.75,374.6,20.5,13.09,0,4,39,19,134,0.149,38,9,5,61,5,1,9,1,53.5,4,North Florida
193.83,269.5,93.56,115.29,574.67,801.64,0.48,0.66,219.4,291.08,31.08,30.82,36.19,49.82,233.0,387.54,32.07,42.0,10.09,21.88,69.71,77.0,9.07,9.44,280.75,359.38,20.5,15.9,0,4,55,26,152,0.191,48,7,8,62,9,0,8,1,66.0,6,Jacksonville
193.83,283.0,93.56,107.75,574.67,743.38,0.48,0.6,219.4,284.73,31.08,45.18,36.19,57.31,233.0,327.4,32.07,43.7,10.09,12.91,69.71,92.92,9.07,7.33,280.75,381.63,20.5,14.5,0,3,20,19,89,0.011,19,3,8,30,6,1,6,0,27.0,2,FGCU
193.83,269.5,93.56,115.29,574.67,801.64,0.48,0.66,219.4,291.08,31.08,30.82,36.19,49.82,233.0,387.54,32.07,42.0,10.09,21.88,69.71,77.0,9.07,9.44,280.75,359.38,20.5,15.9,0,5,57,15,176,0.239,52,4,16/,72,4,4,16,0,73.0,5,Jacksonville
193.83,274.44,93.56,118.94,574.67,804.69,0.48,0.56,219.4,344.67,31.08,34.23,36.19,51.43,233.0,397.64,32.07,39.08,10.09,16.9,69.71,102.33,9.07,11.09,280.75,374.6,20.5,13.09,0,3,31,16,95,0.158,31,2,4,32,7,0,8,1,37.0,2,North Florida
193.83,228.78,93.56,96.5,574.67,651.0,0.48,0.49,219.4,259.47,31.08,33.77,36.19,51.27,233.0,301.47,32.07,29.71,10.09,16.3,69.71,88.91,9.07,20.18,280.75,325.56,20.5,12.25,0,3,35,17,91,0.198,34,2,4,30,5,0,2,1,38.0,4,Kennesaw St.
193.83,273.94,93.56,110.25,574.67,677.06,0.48,0.65,219.4,294.14,31.08,37.58,36.19,57.21,233.0,278.67,32.07,38.11,10.09,16.56,69.71,87.45,9.07,22.18,280.75,364.27,20.5,18.5,0,4,31,19,99,0.121,29,3,5,33,11,2,26,1,49.0,4,Lipscomb
193.83,233.76,93.56,120.59,574.67,706.29,0.48,0.54,219.4,283.69,31.08,47.36,36.19,58.23,233.0,337.4,32.07,49.73,10.09,13.0,69.71,93.73,9.07,15.42,280.75,341.83,20.5,19.5,0,5,44,21,170,0.135,42,7,11,74,12,1,24,1,64.0,1,NJIT
193.83,320.27,93.56,140.8,574.67,995.2,0.48,0.58,219.4,342.62,31.08,39.62,36.19,50.14,233.0,489.14,32.07,43.5,10.09,17.29,69.71,96.82,9.07,13.64,280.75,426.61,20.5,14.0,0,3,26,23,119,0.025,24,1,6,54,3,1,10,2,33.0,0,USC Upstate
