Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,43,10,82,0.402,37,6,8,37,2,1,4,1,52.0,0,Stetson
0,3,33,12,91,0.231,33,2,12,28,5,1,6,2,39.0,0,UCF
0,4,41,23,146,0.123,34,10,6,75,7,0,12,3,57.0,0,Kent St.
0,3,32,19,99,0.131,30,2,8,36,5,2,12,0,42.0,0,Hofstra
0,3,32,20,95,0.126,28,3,11,28,11,0,8,2,39.0,0,Auburn
0,3,44,18,106,0.245,43,5,9,42,5,0,2,1,50.0,1,Santa Clara
0,4,41,24,124,0.137,36,7,10,42,7,0,4,0,50.0,1,Louisville
1,4,60,25,146,0.240,55,5,5,52,9,0,6,3,68.0,2,Iona
0,3,25,17,83,0.096,25,2,7,33,12/,0,2,0,28.0,0,Notre Dame
0,3,37,16,106,0.198,32,4,9,32,5,2,4,0,45.0,0,Rhode Island
0,5,53,16,118,0.314,51,10,10,34,5,1,4,3,66.0,0,San Diego St.
0,4,52,21,126,0.246,49,5,9,43,8,1,6,3,61.0,1,American
1,5,68,26,155,0.271,64,6,7,70,8,1,10,0,80.0,0,Purdue Fort Wayne
1,5,63,25,152,0.250,59,9,16,60,8,1,2,0,74.0,1,Fordham
0,5,50,29,151,0.139,48,4,10,64,7,2,12,0,62.0,1,UMBC
0,3,32,24,110,0.073,25,1,3,39,6,0,4,0,35.0,1,Sacred Heart
0,3,32,23,94,0.096,30,2,7,32,5,1,4,1,37.0,1,New Hampshire
1,4,64,29,153,0.229,59,5,7,53,6,2,4,3,73.0,2,Binghamton
0,4,40,27,125,0.104,37,4,4,55,8,1,17,4,53.5,1,Hartford
0,5,54,21,161,0.205,51,9,16,74,9,4,12,2,73.0,0,UMBC
0,4,52,23,155,0.187,51,4,6,64,8,3,6,3,62.0,0,New Hampshire
0,4,56,28,154,0.182,51,6,9,54,5,0,6,0,65.0,0,Binghamton
0,5,60,24,173,0.208,54,6,14,62,8,1,6,1,70.0,3,Fairfield
1,4,50,16,120,0.283,46,8,13,43,7,1,10,0,64.0,2,Hartford
0,4,60,28,148,0.216,52,8,7,67,11,0,2,0,69.0,2,LIU
