Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,5,50,32,164,0.110,45,7,13,88,5,3,14,5,67.0,3,USC Upstate
0,3,36,25,109,0.101,36,4,5,42,7,1,6,0,44.0,0,ETSU
0,3,30,19,96,0.115,26,2,8,41,6,2,14,1,41.0,0,Austin Peay
1,3,45,13,97,0.330,39,5,5,45,7,1,8,2,55.0,2,Southeastern La.
0,4,52,27,145,0.172,49,3,10,68,8,0,10,0,60.0,1,Valparaiso
1,3,39,9,86,0.349,29,5,13,38,3,0,10,1,49.0,0,Southern U.
0,3,27,20,82,0.085,23,1,6,28,7,1,12,2,35.0,1,New Mexico St.
1,4,50,23,125,0.216,46,7,9,56,6,2,18,3,68.0,0,Alabama St.
1,4,53,26,132,0.205,48,5,9,47,5,0,16,0,66.0,2,Savannah St.
1,4,51,24,132,0.205,48,8,11,56,6,2,16,2,69.0,0,Chicago St.
0,5,62,22,159,0.252,56,7,11,63,6,2,12,3,77.0,1,UAB
0,5,54,25,153,0.190,52,3,11,76,5,4,8,0,65.0,0,Portland
0,3,24,22,78,0.026,24,1,7,27,5,0,10,1,30.0,0,Mississippi St.
0,3,45,28,124,0.137,38,4,7,57,3,1,14,1,57.0,0,Eastern Ill.
0,3,40,20,128,0.156,37,3,9,46,3,0,14,0,50.0,0,FIU
0,3,26,20,85,0.071,24,6,4,29,10,0,10,0,37.0,0,Texas St.
0,3,30,29,102,0.010,29,3,6,37,4,0,8,0,37.0,2,UT Arlington
0,5,43,45/,155,-0.013,35,6,7,63,12,0,12,5,55.0,0,Georgia St.
0,3,27,20,103,0.068,25,5,8,40,5,0,10,2,37.0,0,Ga. Southern
0,3,31,21,101,0.099,29,4,5,37,5,0,14,1,42.0,1,Tennessee
0,3,30,19,87,0.126,22,4,7,30,8,2,6,0,39.0,0,South Alabama
0,4,54,25,130,0.223,50,10,7,50,7,2,14,3,73.0,0,Florida A&M
0,5,57,32,180,0.139,49,6,13,77,4,1,8,0,68.0,1,Ga. Southern
0,4,43,31,135,0.089,37,7,5,47,6,2,12,0,58.0,1,Georgia St.
0,4,46,31,162,0.093,44,6,9,82,7,0,14,0,59.0,2,Little Rock
0,3,24,17,92,0.076,21,0,5,39,9,1,8,0,29.0,0,Arkansas St.
1,4,56,28,144,0.194,52,2,10,71,2,5,20,0,73.0,2,South Alabama
0,3,28,22,95,0.063,27,0,4,31,5,1,8,0,33.0,1,Coastal Carolina
0,3,30,19,101,0.109,29,4,7,44,3,1,6,4,38.0,1,Louisiana
0,3,23,21,94,0.021,23,2,7,27,6,0,0,0,25.0,0,Coastal Carolina
