Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
306.88,255.32,129.31,104.68,920.75,673.42,0.46,0.53,354.77,344.54,38.4,37.91,60.55,55.36,487.79,309.53,28.0,29.79,13.64,19.18,119.7,74.0,13.31,15.0,431.61,374.81,19.44,11.91,1,5,79,19,198,0.303,75,1,10,89,2,1,16,6,89.0,3,Alabama
306.88,257.53,129.31,97.12,920.75,728.53,0.46,0.53,354.77,275.6,38.4,34.5,60.55,48.82,487.79,389.93,28.0,35.5,13.64,11.1,119.7,76.75,13.31,18.3,431.61,335.22,19.44,15.88,0,3,43,17,136,0.191,39,2,4,64,6,0,2,5,46.0,5,South Dakota
306.88,221.44,129.31,95.33,920.75,703.5,0.46,0.49,354.77,231.81,38.4,29.08,60.55,34.77,487.79,373.0,28.0,32.36,13.64,13.88,119.7,84.07,13.31,11.09,431.61,300.32,19.44,11.4,1,4,64,22,182,0.231,61,6,12,102,0,4,8,0,78.0,3,SFA
306.88,228.78,129.31,96.5,920.75,651.0,0.46,0.49,354.77,259.47,38.4,33.77,60.55,51.27,487.79,301.47,28.0,29.71,13.64,16.3,119.7,88.91,13.31,20.18,431.61,325.56,19.44,12.25,1,4,47,17,165,0.182,45,7,9,77,3,1,24,1,67.0,0,Kennesaw St.
306.88,216.76,129.31,95.81,920.75,608.67,0.46,0.45,354.77,283.67,38.4,28.35,60.55,45.71,487.79,278.58,28.0,31.67,13.64,10.54,119.7,103.77,13.31,15.25,431.61,307.66,19.44,14.11,1,4,53,20,132,0.250,51,6,9,56,2,2,6,3,64.0,2,Texas St.
306.88,221.79,129.31,100.63,920.75,612.68,0.46,0.47,354.77,278.57,38.4,39.83,60.55,48.93,487.79,269.72,28.0,32.86,13.64,11.0,119.7,93.85,13.31,12.8,431.61,338.25,19.44,8.56,1,4,48,25,147,0.156,43,12,8,71,6,5,16,0,73.0,3,Central Ark.
306.88,271.13,129.31,126.8,920.75,760.07,0.46,0.67,354.77,291.92,38.4,32.54,60.55,46.5,487.79,329.79,28.0,40.5,13.64,16.0,119.7,77.0,13.31,26.7,431.61,364.0,19.44,10.0,1,3,38,15,102,0.225,35,8,6,44,0,2,10,0,53.0,1,UT Martin
306.88,243.47,129.31,98.21,920.75,658.63,0.46,0.43,354.77,270.25,38.4,32.45,60.55,41.0,487.79,339.38,28.0,29.7,13.64,19.64,119.7,71.82,13.31,11.1,431.61,310.78,19.44,12.12,1,3,49,20,135,0.215,43,7,5,66,1,0,10,0,61.0,4,Arkansas St.
306.88,240.33,129.31,100.22,920.75,632.72,0.46,0.51,354.77,270.2,38.4,49.67,60.55,72.15,487.79,304.73,28.0,39.92,13.64,10.09,119.7,84.67,13.31,17.2,431.61,369.4,19.44,11.78,1,4,56,20,144,0.250,53,2,7,72,3,3,12,1,67.0,3,Oral Roberts
306.88,263.38,129.31,130.25,920.75,809.12,0.46,0.44,354.77,279.86,38.4,41.36,60.55,62.0,487.79,385.73,28.0,36.5,13.64,12.67,119.7,97.45,13.31,12.18,431.61,354.6,19.44,17.0,1,4,57,22,173,0.202,56,7,8,96,6,1,6,0,68.0,5,Northwestern St.
306.88,244.53,129.31,108.0,920.75,708.71,0.46,0.53,354.77,258.53,38.4,34.15,60.55,37.13,487.79,335.31,28.0,44.2,13.64,13.64,119.7,61.29,13.31,12.22,431.61,323.75,19.44,10.82,1,4,60,27,173,0.191,57,7,6,87,2,2,12,1,75.0,1,Louisiana Tech
306.88,286.19,129.31,111.5,920.75,770.56,0.46,0.64,354.77,328.62,38.4,31.5,60.55,59.31,487.79,345.73,28.0,31.36,13.64,13.8,119.7,112.0,13.31,10.8,431.61,407.93,19.44,9.91,0,5,65,28,178,0.208,62,0,6,68,6,1,16,1,74.0,2,Cincinnati
306.88,237.82,129.31,108.94,920.75,674.12,0.46,0.47,354.77,292.38,38.4,30.0,60.55,53.58,487.79,306.0,28.0,31.25,13.64,15.91,119.7,81.67,13.31,14.09,431.61,316.75,19.44,14.17,1,4,47,23,126,0.190,45,5,7,55,1,1,10,1,58.0,1,East Carolina
306.88,185.14,129.31,82.0,920.75,533.0,0.46,0.51,354.77,214.28,38.4,27.19,60.55,45.76,487.79,246.0,28.0,30.86,13.64,11.44,119.7,66.92,13.31,12.0,431.61,265.58,19.44,12.62,1,5,56,24,172,0.186,54,8,5,85,7,1,14,3,72.0,3,Houston
306.88,285.61,129.31,103.72,920.75,798.56,0.46,0.6,354.77,298.56,38.4,30.0,60.55,55.71,487.79,373.76,28.0,32.69,13.64,17.55,119.7,95.73,13.31,12.73,431.61,369.44,19.44,10.75,0,5,58,23,197,0.178,54,7,8,102,0,3,8,0,72.0,0,Tulane
306.88,312.4,129.31,121.33,920.75,822.93,0.46,0.6,354.77,314.07,38.4,34.25,60.55,55.17,487.79,364.93,28.0,42.67,13.64,12.5,119.7,87.92,13.31,11.08,431.61,415.61,19.44,10.78,0,3,40,18,126,0.175,39,3,6,60,6,0,10,0,48.0,0,Temple
