Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
0,5,33,27,158,0.038,33,5,10,69,7,2,10,0,45.0,1,Troy
0,3,29,20,101,0.089,29,7,4,46,4,0,8,1,40.0,2,ETSU
0,5,52,27,154,0.162,51,11,9,67,6,0,10,0,68.0,1,Austin Peay
0,5,50,31,177,0.107,47,3,8,98,4,0,14,1,60.0,2,Gardner-Webb
0,3,20,20,105,0,18,2,6,44,4,0,4,0,24.0,1,Liberty
1,3,47,19,112,0.250,46,3,4,51,6,0,10,0,55.0,0,Hampton
0,4,44,20,147,0.163,41,5,4,64,4,0,14,4,56.0,2,ETSU
1,5,63,24,171,0.228,55,5,6,91,8,0,12,1,74.0,0,Liberty
0,3,41,16,124,0.202,39,4,5,52,6,0,0,0,45.0,0,Furman
1,4,70,25,191,0.236,67,4,5,94,6,1,10,0,80.0,0,Davidson
1,5,66,29,199,0.186,63,6,8,95,6,1,6,3,76.0,1,Charlotte
1,4,55,19,164,0.220,48,10,2,66,9,0,4,4,67.0,1,Fairleigh Dickinson
0,5,45,34,181,0.061,40,9,6,77,7,1,24,1,67.0,1,Towson
0,4,56,19,162,0.228,52,7,9,67,6,0,14,0,70.0,0,Mercer
1,5,52,29,189,0.122,50,9,7,90,9,0,24,0,73.0,1,Wofford
1,5,65,27,208/,0.183,56,5,14,85,5,1,6,0,74.0,0,NJIT
1,5,55,30,174,0.144,55,7,12,79,1,2,14,1,71.0,2,Presbyterian
1,5,62,17,168,0.268,56,5,6,79,3,1,10,0,73.0,2,Stetson
0,3,25,15,103,0.097,25,2,5,42,6,1,10,1,33.0,3,FGCU
0,3,28,19,117,0.077,25,2,8,50,2,0,0,1,30.0,0,North Florida
1,3,49,18,136,0.228,43,5,5,63,2,1,10,0,60.0,0,Jacksonville
0,3,23,12,89,0.124,21,4,5,40,7,1,0,2,28.0,1,Kennesaw St.
0,4,38,19,125,0.152,35,3,6,50,10,0,20,3,51.0,1,Lipscomb
0,4,45,25,149,0.134,41,3,10,66,8,0,8,1,52.0,0,NJIT
0,5,42,24,142,0.127,39,6,7,52,6,2,18,1,59.0,0,Lipscomb
0,5,49,19,169,0.178,42,5,4,73,8,2,12,2,62.0,0,Kennesaw St.
0,4,52,25,202,0.134,51,7,8,107,5,1,10,0,65.0,0,Jacksonville
1,3,42,16,133,0.195,39,4,3,72,3,0,10,0,51.0,0,North Florida
0,5,59,19,162,0.247,49,6,5,59,8,1,4,2,68.0,0,FGCU
1,3,41,12,116,0.250,35,3,9,61,1,3,14,1,54.0,0,Stetson
1,4,57,20,201,0.184,53,7,2,110/,4,1,6,1,68.0,0,North Florida
0,3,24,15,98,0.092,24,0,2,39,4,0,8,1,28.0,2,Lipscomb
