Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
304.25,226.28,135.75,108.61,960.12,648.61,0.59,0.46,301.07,239.75,32.08,37.31,43.85,48.4,473.87,304.88,30.92,41.27,13.42,13.56,101.14,81.0,16.23,17.1,408.13,308.65,19.78,11.67,1,4,54,24,162,0.185,52,2,10,72,3,1,26,1,70.0,1,CSU Bakersfield
304.25,264.71,135.75,106.59,960.12,703.06,0.59,0.56,301.07,301.07,32.08,40.91,43.85,49.31,473.87,313.87,30.92,43.2,13.42,12.7,101.14,96.08,16.23,12.09,408.13,356.34,19.78,14.78,0,5,40,20,143,0.140,34,5,4,62,5,4,8,1,53.0,4,Hofstra
304.25,225.37,135.75,84.84,960.12,623.42,0.59,0.47,301.07,267.8,32.08,33.23,43.85,38.31,473.87,302.0,30.92,33.23,13.42,14.18,101.14,74.5,16.23,9.36,408.13,312.76,19.78,11.67,1,5,55,17,174,0.218,51,4,7,90,5,1,14,3,67.0,4,Army West Point
304.25,232.06,135.75,121.83,960.12,668.11,0.59,0.57,301.07,289.23,32.08,36.77,43.85,52.47,473.87,309.38,30.92,51.6,13.42,13.7,101.14,83.64,16.23,11.18,408.13,316.32,19.78,12.75,1,4,42,18,134,0.179,36,8,5,55,3,1,12,2,57.0,1,Troy
304.25,239.0,135.75,111.21,960.12,651.84,0.59,0.39,301.07,276.93,32.08,41.55,43.85,51.62,473.87,300.12,30.92,31.5,13.42,14.0,101.14,93.85,16.23,15.38,408.13,359.25,19.78,14.88,0,3,25,15,109,0.092,22,0,1,52,6,0,6,1,28.0,3,New Mexico St.
304.25,305.31,135.75,127.88,960.12,846.62,0.59,0.57,301.07,322.57,32.08,39.31,43.85,53.0,473.87,392.73,30.92,38.83,13.42,24.1,101.14,79.58,16.23,21.7,408.13,407.63,19.78,10.54,1,4,53,14,139,0.281,46,3,5,61,1,4,20,3,70.0,1,Austin Peay
304.25,249.12,135.75,102.06,960.12,677.69,0.59,0.61,301.07,264.07,32.08,41.8,43.85,48.85,473.87,324.5,30.92,37.27,13.42,15.56,101.14,75.75,16.23,14.2,408.13,333.23,19.78,13.5,0,4,47,21,157,0.166,44,3,7,74,3,0,6,1,53.0,0,Central Mich.
304.25,252.76,135.75,116.47,960.12,759.0,0.59,0.59,301.07,288.64,32.08,31.0,43.85,33.36,473.87,360.31,30.92,47.56,13.42,19.73,101.14,66.23,16.23,13.1,408.13,334.22,19.78,14.3,1,3,43,15,133,0.211,41,4,2,72,2,2,14,0,56.0,4,Southeast Mo. St.
304.25,222.5,135.75,102.5,960.12,651.94,0.59,0.69,301.07,242.71,32.08,34.45,43.85,42.83,473.87,322.36,30.92,30.64,13.42,11.22,101.14,68.36,16.23,17.0,408.13,339.69,19.78,13.4,1,3,36,4,103,0.311,33,4,6,45,0,3,18,3,52.0,4,South Dakota St.
304.25,248.71,135.75,111.12,960.12,716.94,0.59,0.43,301.07,265.87,32.08,33.29,43.85,38.0,473.87,351.73,30.92,43.0,13.42,14.3,101.14,81.15,16.23,15.45,408.13,335.28,19.78,10.2,0,4,51,26,175,0.143,45,1,3,87,5,4,6,6,59.0,2,Duquesne
304.25,242.22,135.75,86.56,960.12,671.78,0.59,0.54,301.07,256.12,32.08,34.46,43.85,41.62,473.87,331.0,30.92,30.38,13.42,12.6,101.14,76.36,16.23,11.0,408.13,356.93,19.78,19.14,0,3,25,16,99,0.091,22,0,4,52,7,1,10,0,31.0,4,Bowling Green
304.25,289.06,135.75,119.22,960.12,728.78,0.59,0.66,301.07,348.93,32.08,38.92,43.85,52.69,473.87,332.31,30.92,31.36,13.42,21.0,101.14,125.0,16.23,17.8,408.13,405.25,19.78,6.9,0,3,19,13,78,0.077,19,3,6,27,4,3,8,1,29.0,1,Ohio St.
304.25,236.8,135.75,102.35,960.12,685.25,0.59,0.49,301.07,261.18,32.08,26.69,43.85,34.88,473.87,322.05,30.92,26.24,13.42,18.91,101.14,90.67,16.23,14.54,408.13,328.61,19.78,11.8,0,4,42,26,159,0.101,39,2,4,64,3,1,14,2,52.0,5,Ball St.
304.25,251.16,135.75,104.21,960.12,728.21,0.59,0.44,301.07,299.13,32.08,36.5,43.85,49.14,473.87,351.94,30.92,29.38,13.42,19.09,101.14,74.5,16.23,11.42,408.13,326.03,19.78,14.89,0,4,52,21,191,0.162,47,5,4,97,5,0,12,2,63.0,5,UNC Greensboro
304.25,252.56,135.75,112.88,960.12,703.88,0.59,0.43,301.07,316.15,32.08,29.67,43.85,45.31,473.87,356.64,30.92,29.08,13.42,16.0,101.14,109.91,16.23,16.33,408.13,340.9,19.78,3.57,0,4,45,34,159,0.069,40,8,9,71,4,2,12,7,61.0,0,Green Bay
304.25,252.0,135.75,102.83,960.12,686.28,0.59,0.57,301.07,266.56,32.08,34.64,43.85,49.77,473.87,295.0,30.92,32.08,13.42,14.4,101.14,108.82,16.23,13.27,408.13,353.72,19.78,16.43,1,5,71,22,169,0.290,67,5,3,82,5,3,16,3,87.0,5,UIC
304.25,254.81,135.75,112.62,960.12,716.25,0.59,0.59,301.07,293.08,32.08,48.1,43.85,60.36,473.87,311.87,30.92,40.42,13.42,18.62,101.14,90.67,16.23,20.82,408.13,350.07,19.78,9.0,0,5,48,26,170,0.129,44,7,6,96,3,2,8,5,61.0,6/,Youngstown St.
304.25,275.12,135.75,111.71,960.12,714.47,0.59,0.55,301.07,335.92,32.08,35.64,43.85,46.23,473.87,307.44,30.92,35.82,13.42,20.25,101.14,103.25,16.23,19.91,408.13,365.66,19.78,15.5,0,4,46,26,147,0.136,43,6,5,62,7,0,14,3,59.0,6/,Cleveland St.
304.25,199.89,135.75,105.0,960.12,648.42,0.59,0.57,301.07,237.87,32.08,29.93,43.85,40.75,473.87,332.47,30.92,51.1,13.42,9.92,101.14,65.0,16.23,12.79,408.13,286.09,19.78,16.78,1,3,39,14,134,0.187,36,5,6,71,2,2,16,1,54.0,0,Western Ill.
304.25,255.44,135.75,107.5,960.12,695.06,0.59,0.55,301.07,274.57,32.08,39.9,43.85,46.91,473.87,366.0,30.92,36.55,13.42,11.12,101.14,97.8,16.23,15.0,408.13,361.71,19.78,10.83,0,3,27,17,97,0.103,24,1,2,28,3,1,10,2,34.0,0,Northern Ky.
