Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,3,42,15,108,0.250,37,5,7,57,1,2,16,0,57.0,0,FGCU
0,3,39,15,118,0.203,35,1,6,54,4,0,4,1,42.0,0,Western Ky.
1,3,49,12,109,0.339,45,8,9,48,2,1,4,0,60.0,0,Ohio
0,3,32,17,101,0.149,30,4,10,31,3,2,4,1,40.0,0,Washington
1,3,45,14,89,0.348,45,6,10,32,3,1,10,0,57.0,0,Idaho
0,4,42,27,128,0.117,39,8,4,58,8,1,14,0,58.0,0,Seattle U
1,3,35,10,75,0.333,32,8,7,24,3,1,4,2,46.0,1,Sacred Heart
1,3,43,14,95,0.305,40,3,8,45,6,0,10,1,51.0,0,James Madison
1,3,46,12,118,0.288,42,4,8,54,3,0,10,1,55.0,0,Fairfield
1,3,45,10,90,0.389,44,3,13,48,2,2,12,2,56.0,1,Lehigh
0,3,42,21,119,0.176,37,2,6,43,9,0,10,2,49.0,0,Temple
1,3,46,7,99,0.394,40,10,9,36,3,1,6,1,60.0,0,Penn
1,4,57,20,131,0.282,51,7,12,49,8,0,8,2,68.0,1,La Salle
1,3,58,21,143,0.259,51,3,7,73,2,1,14,1,69.0,0,Seton Hall
0,3,39,19,129,0.155,39,5,6,53,3,2,14,0,53.0,0,Georgetown
0,4,51,22,126,0.230,49,8,8,44,7,2,10,0,66.0,0,DePaul
1,4,67,21,169,0.272,64,6,11,81,3,1,12,0,80.0,0,Marquette
0,4,47,16,136,0.228,44,6,5,52,8,3,10,0,61.0,2,Creighton
1,3,49,12,113,0.327,46,0,10,56,4,0,14,2,56.0,0,Providence
0,4,57,22,162,0.216,54,3,9,87,4,3,10,0,68.0,0,Butler
1,4,69,23,172,0.267,67,3,4,79,5,2,10,1,79.0,2,Xavier
1,4,55,15,129,0.310,54,10,9,60,3,0,16,1,73.0,0,Georgetown
0,3,33,20,125,0.104,30,1,4,51,3,1,4,2,37.0,0,Marquette
1,3,49,14,116,0.302,44,6,10,48,1,0,8,0,59.0,0,DePaul
0,5,60,24,163,0.221,57,5,9,71,9,3,19,4,77.5,1,Seton Hall
0,4,55,22,152,0.217,50,3,13,55,6,1,10,3,64.0,1,Xavier
0,3,38,19,117,0.162,36,0,6,46,5,2,6,0,43.0,0,Butler
1,4,57,20,154,0.240,53,8,8,72,9,0,13,2,71.5,1,Providence
0,5,54,26,184,0.152,54,6,10,91,5,5,8,0,69.0,1,Creighton
