Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
1,5,55,20,178,0.197,52,6,7,84,3,3,20,2,74.0,1,UAB
1,5,59,25,200,0.170,57,6,7,102,8,3,16,2,76.0,0,Charleston So.
0,4,52,32,174,0.115,47,3,4,74,3,3,22,3,69.0,2,Tennessee Tech
1,3,37,15,112,0.196,32,3,7,53,3,3,10,1,48.0,0,Georgetown
0,3,26,28,114,-0.018,25,2,4,52,5,1,10,1,34.0,0,South Fla.
0,4,39,22,166,0.102,31,2,4,62,5,2,32/,5,59.0,1,Fla. Atlantic
0,3,19,18,93,0.011,17,0,9,33,6,0,8,0,23.0,3,New Mexico
1,3,41,17,135,0.178,39,3,7,69,3,0,12,1,50.0,3,Coppin St.
0,4,39,27,142,0.085,32,4,3,63,10,1,8,3,48.0,1,Charlotte
0,3,30,19,115,0.096,28,3,3,45,6,0,6,1,36.0,5,William & Mary
0,3,30,21,104,0.087,25,7,3,39,3,3,12,2,46.0,2,Winthrop
0,3,36,21,95,0.158,33,4,8,26,5,1,10,2,46.0,1,UNC Asheville
1,3,47,10,99,0.374,45,3,8,40,5,0,16,0,58.0,0,The Citadel
0,3,36,18,106,0.170,33,2,7,41,6,2,16,2,48.0,1,Furman
1,4,48,23,139,0.180,40,6,6,67,7,4,16,3,66.0,0,Samford
0,3,32,21,103,0.107,30,1,4,42,5,5,14,1,45.0,0,Wofford
0,5,57,28,167,0.174,53,7,8,73,6,3,12,1,73.0,1,ETSU
0,4,46,26,165,0.121,38,5,2,75,7,1,12,2,58.0,1,Chattanooga
1,5,49,23,166,0.157,47,6,11,78,8,2,28,4,71.0,2,Mercer
0,4,46,18,145,0.193,44,2,5,65,8,0,12,3,54.0,1,ETSU
0,3,38,12,94,0.277,36,0,7,33,9,0,6,2,41.0,0,Samford
0,4,46,24,147,0.150,39,4,6,51,8,2,20,4,62.0,1,Wofford
0,3,40,18,118,0.186,39,4,2,52,6,1,7,2,48.5,0,UNC Greensboro
1,3,41,12,110,0.264,37,5,3,43,3,5,14,2,58.0,0,Furman
1,4,54,28,159,0.164,48,4,5,66,2,2,12,3,66.0,0,Chattanooga
0,4,46,30,152,0.105,41,6,7,67,0,3,15,3,62.5,0,UNC Greensboro
0,4,53,21,146,0.219,45,7,5,65,10,2,18,4,71.0,1,Mercer
1,3,44,13,132,0.235,39,1,3,76,2,2,14,2,54.0,1,The Citadel
0,5,55,22,167,0.198,48,4,6,71,3,3,20,2,72.0,0,UNC Greensboro
