Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
242.72,269.5,115.44,115.29,675.5,801.64,0.36,0.66,272.33,291.08,36.15,30.82,50.54,49.82,300.47,387.54,32.69,42.0,16.82,21.88,81.57,77.0,13.33,9.44,329.12,359.38,14.9,15.9,0,4,49,23,120,0.217,46,5,18/,45,8,2,6,3,59.0,1,Jacksonville
242.72,221.0,115.44,94.16,675.5,673.58,0.36,0.34,272.33,259.0,36.15,26.86,50.54,36.27,300.47,335.12,32.69,35.7,16.82,15.5,81.57,95.85,13.33,12.08,329.12,314.88,14.9,14.22,0,3,31,33,106,-0.019,31,3,6,39,4,3,2,0,38.0,4,UNCW
242.72,212.32,115.44,97.05,675.5,626.32,0.36,0.5,272.33,251.0,36.15,36.42,50.54,38.15,300.47,296.71,32.69,38.85,16.82,22.7,81.57,84.86,13.33,12.92,329.12,311.29,14.9,15.5,1,3,45,12,103,0.320,40,8,11,35,2,3,4,0,58.0,7/,Davidson
242.72,249.65,115.44,111.0,675.5,686.35,0.36,0.72,272.33,284.43,36.15,34.0,50.54,56.07,300.47,287.06,32.69,33.57,16.82,12.73,81.57,92.58,13.33,14.55,329.12,358.77,14.9,10.58,0,5,64,30,155,0.219,60,5,13,59,8,1,12,1,76.0,0,Clemson
242.72,206.6,115.44,79.45,675.5,529.2,0.36,0.51,272.33,255.07,36.15,26.2,50.54,41.33,300.47,236.39,32.69,30.0,16.82,15.64,81.57,76.77,13.33,12.08,329.12,273.47,14.9,5.33,0,3,25,18,82,0.085,24,3,8,21,7,1,10,1,34.0,0,South Carolina
242.72,234.5,115.44,105.89,675.5,681.22,0.36,0.68,272.33,263.47,36.15,31.0,50.54,47.5,300.47,359.73,32.69,35.45,16.82,19.5,81.57,71.92,13.33,14.77,329.12,330.91,14.9,17.38,1,5,66,25,164,0.250,64,2,11,74,8,4,18,1,81.0,0,Furman
242.72,205.09,115.44,95.18,675.5,586.09,0.36,0.42,272.33,261.75,36.15,35.57,50.54,46.19,300.47,276.55,32.69,30.75,16.82,19.56,81.57,83.08,13.33,13.18,329.12,301.37,14.9,18.42,1,5,71,27,157,0.280,65,6,15,61,10,2,14,4,86.0,0,Ga. Southern
242.72,276.33,115.44,125.27,675.5,859.6,0.36,0.54,272.33,321.5,36.15,34.58,50.54,43.0,300.47,459.23,32.69,32.64,16.82,15.9,81.57,95.82,13.33,17.55,329.12,374.71,14.9,28.0,1,5,64,34,197,0.152,54,4,12,85,7,4,16,4,80.0,2,Robert Morris
242.72,169.41,115.44,88.76,675.5,507.71,0.36,0.52,272.33,202.77,36.15,34.5,50.54,43.53,300.47,238.4,32.69,39.75,16.82,13.83,81.57,45.91,13.33,9.55,329.12,279.19,14.9,16.7,1,3,42,11,87,0.356,41,8,7,39,3,0,14,1,57.0,1,Morgan St.
242.72,201.22,115.44,93.39,675.5,575.72,0.36,0.32,272.33,224.73,36.15,28.07,50.54,47.0,300.47,257.71,32.69,29.69,16.82,8.89,81.57,71.08,13.33,11.36,329.12,269.71,14.9,13.0,0,3,34,19,93,0.161,32,0,3,41,6,0,8,4,38.0,2,UMBC
242.72,271.87,115.44,129.47,675.5,827.93,0.36,0.61,272.33,266.14,36.15,32.42,50.54,40.38,300.47,390.43,32.69,39.64,16.82,17.8,81.57,107.36,13.33,13.77,329.12,373.96,14.9,9.91,1,3,45,17,104,0.269,40,3,6,44,7,2,10,2,55.0,0,Western Caro.
242.72,240.17,115.44,111.44,675.5,663.5,0.36,0.48,272.33,286.21,36.15,25.36,50.54,50.67,300.47,304.93,32.69,27.14,16.82,10.9,81.57,137.73,13.33,21.0,329.12,326.15,14.9,18.5,0,3,22,21,82,0.012,22,2,9,35,2,0,14,1,31.0,1,West Virginia
242.72,237.29,115.44,102.18,675.5,651.65,0.36,0.68,272.33,309.17,36.15,35.73,50.54,39.5,300.47,299.4,32.69,28.85,16.82,11.67,81.57,79.73,13.33,12.64,329.12,331.37,14.9,20.67,0,3,34,27,108,0.065,31,3,4,50,3,1,22,3,49.0,1,Akron
