Team A Kills,Team B Kills,Team A Errors,Team B Errors,Team A Total Attacks,Team B Total Attacks,Team A Hit Pct,Team B Hit Pct,Team A Assists,Team B Assists,Team A Aces,Team B Aces,Team A SErr,Team B SErr,Team A Digs,Team B Digs,Team A RErr,Team B RErr,Team A Block Solos,Team B Block Solos,Team A Block Assists,Team B Block Assists,Team A BErr,Team B BErr,Team A PTS,Team B PTS,Team A BHE,Team B BHE,Result,Sets,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Opp
299.24,249.33,117.88,95.76,770.94,695.38,0.67,0.47,313.8,327.27,37.82,37.45,45.4,45.27,346.33,325.5,34.33,32.36,18.9,20.38,98.67,76.64,14.33,11.55,392.75,317.38,11.11,19.67,1,5,68,23,179,0.251,61,2,15,80,5,1,6,2,74.0,3,Missouri St.
299.24,225.21,117.88,91.11,770.94,583.47,0.67,0.53,313.8,336.83,37.82,25.5,45.4,40.67,346.33,255.76,34.33,25.6,18.9,12.11,98.67,115.69,14.33,16.27,392.75,305.39,11.11,10.0,0,4,56,24,148,0.216,54,4,11,53,2,3,12,3,69.0,1,Illinois
299.24,277.6,117.88,121.07,770.94,755.47,0.67,0.14,313.8,327.5,37.82,31.36,45.4,59.69,346.33,351.38,34.33,37.8,18.9,14.11,98.67,113.82,14.33,17.18,392.75,375.86,11.11,14.25,1,4,64,17,143,0.329,60,4,10,54,4,2,12,2,76.0,1,Arkansas
299.24,268.47,117.88,103.53,770.94,681.71,0.67,0.55,313.8,306.29,37.82,31.77,45.4,45.14,346.33,293.38,34.33,29.58,18.9,10.38,98.67,107.92,14.33,19.18,392.75,383.97,11.11,11.64,0,4,48,24,125,0.192,46,3,4,41,6,4,16,3,63.0,2,Dayton
299.24,255.41,117.88,110.76,770.94,737.12,0.67,0.55,313.8,290.36,37.82,35.62,45.4,46.08,346.33,346.12,34.33,29.93,18.9,17.78,98.67,86.75,14.33,12.82,392.75,342.84,11.11,13.12,0,4,62,27,153,0.229,60,5,9,64,6,1,10,3,73.0,5,Chattanooga
299.24,219.47,117.88,90.84,770.94,589.79,0.67,0.53,313.8,298.92,37.82,32.15,45.4,47.81,346.33,249.56,34.33,35.23,18.9,15.75,98.67,75.85,14.33,15.31,392.75,292.78,11.11,8.22,1,3,50,17,119,0.277,45,6,6,49,2,1,8,1,61.0,1,Northwestern
299.24,304.13,117.88,120.53,770.94,854.47,0.67,0.5,313.8,305.14,37.82,34.58,45.4,55.67,346.33,396.36,34.33,35.23,18.9,22.17,98.67,67.83,14.33,7.1,392.75,403.57,11.11,8.38,0,4,67,22,179,0.251,61,5,8,67,3,3,8,0,79.0,0,Western Mich.
299.24,225.61,117.88,105.56,770.94,633.94,0.67,0.48,313.8,292.46,37.82,34.6,45.4,39.25,346.33,277.76,34.33,26.21,18.9,15.92,98.67,90.5,14.33,14.5,392.75,326.97,11.11,8.5,1,4,57,20,133,0.278,50,6,15,52,3,10/,12,0,79.0,0,Milwaukee
299.24,198.27,117.88,78.59,770.94,513.23,0.67,0.45,313.8,214.16,37.82,24.44,45.4,44.33,346.33,226.3,34.33,25.07,18.9,14.0,98.67,82.93,14.33,15.0,392.75,275.75,11.11,8.0,1,4,53,18,125,0.280,47,7,15,40,2,3,12,0,69.0,0,Tennessee
299.24,265.53,117.88,132.33,770.94,812.67,0.67,0.09,313.8,217.57,37.82,47.7,45.4,64.6,346.33,372.29,34.33,53.27,18.9,10.0,98.67,97.7,14.33,7.1,392.75,389.12,11.11,29.62,1,3,46,13,88,0.375,37,5,9,35,2,2,16,0,61.0,1,Southeastern La.
299.24,241.17,117.88,97.94,770.94,684.78,0.67,0.32,313.8,271.87,37.82,33.64,45.4,63.25,346.33,337.88,34.33,23.83,18.9,9.25,98.67,117.92,14.33,13.91,392.75,343.28,11.11,9.62,0,5,62,33,159,0.182,56,4,11,50,12,2,20,1,78.0,2,Kansas
299.24,336.87,117.88,136.33,770.94,827.13,0.67,0.75,313.8,336.86,37.82,44.11,45.4,62.17,346.33,343.14,34.33,41.3,18.9,23.56,98.67,132.56,14.33,24.22,392.75,481.42,11.11,8.38,0,3,37,24,106,0.123,34,0,6,39,4,0,14,2,44.0,0,Purdue
299.24,278.18,117.88,106.41,770.94,742.53,0.67,0.57,313.8,294.6,37.82,28.36,45.4,44.0,346.33,338.73,34.33,30.36,18.9,11.78,98.67,95.15,14.33,12.0,392.75,365.66,11.11,10.0,0,4,56,20,147,0.245,53,3,14,61,6,3,12,3,68.0,0,Seton Hall
299.24,306.0,117.88,111.59,770.94,805.18,0.67,0.58,313.8,344.21,37.82,36.69,45.4,48.94,346.33,368.88,34.33,43.2,18.9,18.56,98.67,121.3,14.33,19.36,392.75,430.17,11.11,10.4,0,3,38,19,102,0.186,33,2,5,30,4,1,4,4,43.0,0,Creighton
299.24,246.83,117.88,112.94,770.94,732.56,0.67,0.51,313.8,296.64,37.82,40.25,45.4,53.42,346.33,332.29,34.33,33.4,18.9,11.5,98.67,85.85,14.33,15.08,392.75,349.94,11.11,8.55,1,3,44,15,112,0.259,39,5,3,58,2,1,11,3,55.5,0,Providence
299.24,266.17,117.88,97.0,770.94,717.28,0.67,0.54,313.8,298.53,37.82,29.43,45.4,50.29,346.33,334.12,34.33,33.73,18.9,16.2,98.67,96.33,14.33,14.42,392.75,349.59,11.11,10.44,0,3,39,15,106,0.226,37,3,9,45,7,0,6,2,45.0,0,Marquette
299.24,273.68,117.88,106.84,770.94,743.11,0.67,0.52,313.8,348.64,37.82,27.93,45.4,46.88,346.33,327.22,34.33,34.45,18.9,12.0,98.67,114.92,14.33,16.91,392.75,357.14,11.11,12.83,1,5,66,19,174,0.270,63,3,6,78,4,1,20,1,80.0,0,Butler
299.24,237.11,117.88,97.95,770.94,587.84,0.67,0.56,313.8,281.13,37.82,36.71,45.4,40.81,346.33,236.29,34.33,36.4,18.9,20.75,98.67,89.75,14.33,6.45,392.75,357.72,11.11,4.5,1,4,52,22,127,0.236,47,7,4,44,4,0,16,1,67.0,0,DePaul
299.24,227.58,117.88,102.0,770.94,622.47,0.67,0.58,313.8,271.6,37.82,38.0,45.4,44.8,346.33,263.17,34.33,36.38,18.9,12.67,98.67,80.58,14.33,14.82,392.75,298.75,11.11,8.0,1,3,41,7,81,0.420,38,7,3,33,3,4,14,1,59.0,0,Georgetown
